customer_id,date_registered,gender,age,residence,job,salary,registration_year,age_group,salary_band,Location,,,
24c9d2d0-d0d3-4a90-9a3a-e00e4aac99bd,2021-09-29,M,49,"195 Brandi Junctions
New Julieberg, NE 63410",Chief Technology Officer,53979,2021,Mid-age,Medium,New Julieberg,,,
7b2bc220-0296-4914-ba46-d6cc6a55a62a,2019-08-17,F,43,"58272 Brown Isle Apt. 698
Port Michael, HI 04693",Data scientist,81510,2019,Mid-age,High,Port Michael,,,
06febdf9-07fb-4a1b-87d7-a5f97d9a5faf,2019-11-01,M,47,"36848 Jones Lane Suite 282
Marquezbury, ID 26822",Chief Operating Officer,205345,2019,Mid-age,Very High,Marquezbury,,,
23df88e5-5dd3-46af-ac0d-0c6bd92e4b96,2021-12-31,F,34,"317 Lamb Cape Apt. 884
Lake Amy, DC 79074",Counselling psychologist,116095,2021,Adult,High,Lake Amy,,,
6069c2d7-7905-4993-a155-64f6aba143b1,2020-08-09,F,57,"21936 Mary Islands
Mendozafort, TN 37124",Mining engineer,107529,2020,Senior,High,Mendozafort,,,
aee2c6aa-c9a4-488c-9e10-6a09dbe2f199,2021-12-29,M,49,"7676 Stephanie Drive Suite 922
New Anthony, IA 10634",Civil Service administrator,41205,2021,Mid-age,Medium,New Anthony,,,
4d52c646-8cc7-4935-9119-130be16518ba,2019-09-13,F,59,"PSC 6686, Box 7297
APO AP 18320",Fast food restaurant manager,176593,2019,Senior,Very High,"New Julieberg, NE 63410",,,
2a8e2be0-7e41-4a56-9092-7a6258e4d5a1,2021-10-06,F,52,"4302 Rowe Drive Suite 678
New Roger, SD 96993","Editor, magazine features",68884,2021,Senior,Medium,New Roger,,,
906fc563-00bb-4974-9e8a-d3d97608ad64,2021-11-01,F,65,"347 Arnold Shoal
Lake Gregory, IL 46021",0.04,179308,2021,Senior,Very High,Lake Gregory,,,
44f14da1-5b00-4b6a-bfe4-5be67a4b2521,2020-04-01,F,22,"319 Peterson Radial
North Matthew, VT 09847",Sports coach,99255,2020,Young Adult,High,North Matthew,,,
0a657d74-2476-4381-a98a-bffa72149a43,2021-08-21,M,46,"Unit 9475 Box 9310
DPO AE 37277",Claims inspector/assessor,67773,2021,Mid-age,Medium,"Mendozafort, TN 37124",,,
d1aa82a1-617d-48cf-b2e9-c89174d537b8,2021-08-22,F,36,"15814 Meghan Estate
East Kevin, KS 43526",Comptroller,139812,2021,Mid-age,Very High,East Kevin,,,
56c75862-4729-4cb6-8b58-a96ac2c811e0,2019-07-18,M,61,"4168 Melissa Estate
North Adriennefurt, NJ 13464",Building control surveyor,75155,2019,Senior,High,"North Adriennefurt,",,,
ed0f8007-ec29-481b-bca7-bbd7736624d0,2020-07-01,M,30,"93291 Davis Via
Perryland, KS 55168",Operations geologist,91941,2020,Adult,High,Perryland,,,
27bc967a-42c5-4576-9356-f9713ee98765,2022-05-09,M,60,"499 Brooke Estates Suite 228
North Bill, AZ 02407",Passenger transport manager,123491,2022,Senior,Very High,North Bill,,,
a13e6d8a-1b1a-4803-af7e-f646d486773e,2022-06-21,F,27,"5597 April Center Suite 408
Marshalltown, FL 15327",Commissioning editor,109639,2022,Adult,High,Marshalltown,,,
40eba54a-a028-4397-8729-b53df9c2b114,2019-08-24,F,50,"61415 Frost Station
South Rachaelbury, IA 63371",Company secretary,54934,2019,Senior,Medium,South Rachaelbury,,,
0d206e0c-2641-4a08-be21-ed5e5d1c384a,2021-08-18,F,49,"5267 Patricia Oval
Port John, OK 53838",Pensions consultant,20153,2021,Mid-age,Low,Port John,,,
956039c6-6276-4034-9074-7b2d4a3d204d,2020-04-25,M,37,"6158 Paige Inlet
South Rachelbury, MA 67450",English as a foreign language teacher,230013,2020,Mid-age,Very High,South Rachelbury,,,
6b6207fd-7226-49ae-a1c7-2bd1118383ee,2019-10-14,M,41,"6086 Tracy Dam Apt. 268
Mariashire, IL 84740","Surveyor, mining",150303,2019,Mid-age,Very High,Mariashire,,,
4f18395b-b0e4-440b-82dd-2c356a9fbf58,2020-09-17,M,52,"4864 Townsend Junction
Davidside, MI 93832",Regulatory affairs officer,112168,2020,Senior,High,Davidside,,,
52980958-5053-4faa-9e9f-562734bf7cfc,2020-02-23,F,39,"27682 William Centers Suite 676
Robbinsfurt, WA 66214",Sales promotion account executive,24158,2020,Mid-age,Low,Robbinsfurt,,,
eb129918-b2b7-4113-9887-199f402476a6,2022-01-25,M,21,"02119 Liu Village Apt. 541
Nealtown, NY 56313","Programme researcher, broadcasting/film/video",41914,2022,Young Adult,Medium,Nealtown,,,
7fd45b4b-7498-455c-9a92-778dcfe26964,2019-11-15,M,36,"3815 Graves Light Apt. 144
Zacharyhaven, WI 15120",Barista,120150,2019,Mid-age,Very High,Zacharyhaven,,,
24df512e-4d26-4ea5-9cd3-784c3b8e8b94,2022-06-01,F,52,"517 Simon Ferry Apt. 834
Campbellhaven, ME 93955",Personnel officer,101601,2022,Senior,High,Campbellhaven,,,
b4361de5-a620-4e4a-be8e-e3a6bf7a2bc8,2021-11-18,M,18,"8300 Moore Crest Suite 521
Robinsonfort, OK 33610",Sales promotion account executive,111861,2021,Young Adult,High,Robinsonfort,,,
3d1570c0-1ed3-4a5c-9fa5-1f3cc42f47c5,2021-02-16,F,42,"945 Amy Square Suite 464
East Laurahaven, NH 25093","Lighting technician, broadcasting/film/video",102087,2021,Mid-age,High,East Laurahaven,,,
95e82636-6b77-4bcf-be39-41eabe0cf3a0,2020-07-27,M,20,"912 Ashley Extension Suite 904
Port Wandachester, HI 96685",Tax inspector,68162,2020,Young Adult,Medium,Port Wandachester,,,
b350d27b-06d9-4c93-88a6-e596d32d8538,2020-08-07,M,63,"3771 Smith Estate Apt. 951
Diazside, VT 35214","Accountant, chartered management",42447,2020,Senior,Medium,Diazside,,,
e139b16e-1428-4cf6-b934-20f9c0a1417f,2021-07-21,M,28,"USS Kelly
FPO AA 36126",Solicitor,175235,2021,Adult,Very High,"Zacharyhaven, WI 15120",,,
b3a195bf-69d3-4c4f-903f-a0fe8dcf7bae,2020-06-13,F,46,"3085 Taylor Pass Apt. 548
Nicholasland, UT 06656","Teacher, early years/pre",167463,2020,Mid-age,Very High,Nicholasland,,,
f07f2a55-2f8e-47ce-9488-382d09a2f291,2021-10-23,M,28,"4033 Joseph Manor Suite 881
South Holly, RI 27676",Physiotherapist,171890,2021,Adult,Very High,South Holly,,,
c01bcc21-2dbf-4621-893d-587d90801d04,2021-06-01,F,32,"24450 Sean Grove Apt. 051
Robinsonland, WA 26625",Magazine journalist,45781,2021,Adult,Medium,Robinsonland,,,
886a9f0b-a36d-475d-877f-b63420422209,2021-09-24,M,26,"1311 Rodriguez Parks
New Bradleyfurt, VA 04434",Statistician,124826,2021,Adult,Very High,New Bradleyfurt,,,
9fdd5669-1dbd-416d-8f83-220c0c99d324,2020-07-31,M,18,"66084 Dickerson Loop Suite 491
Jeffreyview, MN 40856",Local government officer,41535,2020,Young Adult,Medium,Jeffreyview,,,
2e647937-35eb-44b8-b80e-fa9460a3efa6,2022-02-18,F,62,"9443 Gonzalez Summit
East Cassandra, MD 59187","Engineer, water",188952,2022,Senior,Very High,East Cassandra,,,
48b80363-4ee9-460a-8427-8dba02eb975d,2020-09-18,F,22,"66637 Albert Islands
South James, IN 06884",Paramedic,242726,2020,Young Adult,Very High,South James,,,
80d7979f-7467-4d3a-80ef-be00c0eb7676,2021-05-07,M,41,"768 Webb Cliff Suite 272
Maloneton, GA 30997",Financial trader,31750,2021,Mid-age,Medium,Maloneton,,,
d7e0faef-f1c9-4447-b2df-6de6d7cf4260,2022-02-18,F,46,"105 Gabriella Keys Apt. 942
Fergusonton, ME 46239",Science writer,21438,2022,Mid-age,Low,Fergusonton,,,
e7f31b0c-d95b-443a-9b05-d713e9ef8ebb,2019-10-17,M,41,"7077 Wilson Vista
Jameshaven, OR 25055","Engineer, technical sales",25365,2019,Mid-age,Low,Jameshaven,,,
70c91ca4-3d9e-4b77-885b-3e77015dd6a0,2021-09-30,M,64,"4877 Armstrong Greens
West Monicaton, NE 22237","Geneticist, molecular",106094,2021,Senior,High,West Monicaton,,,
25408b35-2c55-4bfb-8e16-af8aef8dab5c,2020-09-30,M,61,"79922 Dunlap Mission
Kylemouth, OR 55780","Engineer, communications",132230,2020,Senior,Very High,Kylemouth,,,
c8be4290-28e5-4373-a0ae-cdc2e413d39e,2020-03-20,F,45,"244 Becker Row
Johnchester, MA 64301",Materials engineer,199065,2020,Mid-age,Very High,Johnchester,,,
78d6a419-59dc-42ce-82b4-6890f9495770,2022-04-01,M,20,"660 Brian Lodge
Floydberg, OR 31248",Games developer,56191,2022,Young Adult,Medium,Floydberg,,,
9a31c3cc-9e4f-4302-9353-7d8a930d6070,2021-01-20,F,36,"828 Cooke Underpass Apt. 240
Youngshire, VT 82963",Exhibition designer,84035,2021,Mid-age,High,Youngshire,,,
e8aac636-0de0-4242-9d34-ec3ebba4eb3c,2022-03-31,M,63,"97157 Cohen Lodge Apt. 386
Jeffland, WV 82979",Clinical embryologist,64632,2022,Senior,Medium,Jeffland,,,
d789cb77-4592-452b-86d6-eaf1711c9495,2019-07-29,M,57,"236 Stephen Haven Apt. 939
North Ashleyborough, OH 94924","Engineer, chemical",157449,2019,Senior,Very High,North Ashleyborough,,,
61ef0b1c-1f41-4333-b772-92f7a79b2dc0,2021-09-03,M,54,"7626 Dustin Circles
Johnsonside, ME 14204","Engineer, civil (contracting)",25197,2021,Senior,Low,Johnsonside,,,
c22cb613-4b52-4b21-9f0f-be78bf7a2034,2022-01-31,M,46,"181 Solomon Port Suite 334
Michaelport, WY 24038",Insurance account manager,40826,2022,Mid-age,Medium,Michaelport,,,
039d6115-45e5-494c-aef3-e06890707dda,2020-04-11,F,46,"037 Shah Flat Apt. 358
Johnsontown, TN 58206","Designer, jewellery",29330,2020,Mid-age,Low,Johnsontown,,,
f7a848be-2e7a-4568-bfcd-240124936a38,2021-03-02,F,44,"27070 Shelby Avenue Apt. 005
Lake Richardshire, ND 06916","Designer, textile",53155,2021,Mid-age,Medium,Lake Richardshire,,,
6e7a1bb9-942a-4b1c-8d59-e4041b515b11,2020-05-19,F,42,"USS Brown
FPO AE 32473",Personal assistant,118939,2020,Mid-age,High,"Jeffland, WV 82979",,,
3b4022d7-61ea-45b8-8c2c-dec905e79b09,2019-12-13,F,44,"258 Sarah Parkways Apt. 944
East Prestonmouth, CO 43681",Drilling engineer,228029,2019,Mid-age,Very High,East Prestonmouth,,,
